time,package,value
3,0.0,150.653999999995
3,1.0,128.9360000000015
6,0.0,258.03399999999965
6,1.0,247.26000000000204
9,0.0,84.22200000000885
9,1.0,86.22999999999593
12,0.0,197.21600000000035
12,1.0,224.80299999999988
15,0.0,155.52999999999884
15,1.0,168.47499999999854
18,0.0,207.87699999999313
18,1.0,215.9449999999997
21,0.0,195.5679999999993
21,1.0,201.05299999999988
24,1.0,201.8550000000032
24,0.0,176.02300000000105
27,1.0,176.3050000000003
27,0.0,175.36100000000442
30,1.0,163.92899999999645
30,0.0,183.82099999999627
33,1.0,159.3070000000007
33,0.0,156.33000000000175
36,0.0,216.32200000000012
36,1.0,169.19400000000314
39,0.0,182.7320000000036
39,1.0,208.20500000000175
42,0.0,241.3799999999901
42,1.0,252.48599999999715
45,0.0,221.83200000000943
45,1.0,216.737000000001
48,1.0,207.27700000000186
48,0.0,220.70199999999022
51,0.0,206.4090000000142
51,1.0,194.86399999999412
54,1.0,200.9760000000024
54,0.0,217.2619999999879
57,0.0,226.8530000000028
57,1.0,219.32100000000355
60,1.0,88.55699999999342
60,0.0,97.49400000000605
63,0.0,197.88999999999942
63,1.0,283.6770000000033
66,0.0,246.88300000000163
66,1.0,296.49199999999837
69,0.0,177.54999999998836
69,1.0,204.72699999999895
72,1.0,272.8480000000054
72,0.0,191.06900000000314
75,1.0,237.8449999999939
75,0.0,161.58699999999953
78,1.0,287.80800000000454
78,0.0,194.69000000000233
81,0.0,180.25500000000466
81,1.0,187.55199999999604
84,1.0,225.70900000000256
84,0.0,244.77000000000407
87,0.0,71.45599999999104
87,1.0,75.11800000000221
90,1.0,296.98199999999633
90,0.0,214.096000000005
93,1.0,280.6030000000028
93,0.0,180.3689999999915
96,0.0,190.49800000000687
96,1.0,283.6489999999976
99,0.0,182.2259999999951
99,1.0,255.2960000000021
102,0.0,214.87799999999697
102,1.0,294.9479999999967
105,1.0,298.872000000003
105,0.0,206.1770000000106
108,0.0,175.2549999999901
108,1.0,234.9320000000007
111,1.0,134.2940000000017
111,0.0,154.65400000000955
114,0.0,259.6429999999964
114,1.0,234.9559999999983
117,0.0,89.03699999999662
117,1.0,95.59100000000035
120,0.0,247.49599999999919
120,1.0,324.4360000000015
123,0.0,182.44200000001
123,1.0,277.5049999999974
126,1.0,307.66799999999785
126,0.0,205.3179999999993
129,1.0,293.0330000000031
129,0.0,189.11299999999756
132,0.0,195.9869999999937
132,1.0,292.3359999999957
135,1.0,281.36900000000605
135,0.0,214.76400000001013
138,1.0,277.25099999999657
138,0.0,185.6149999999907
141,0.0,181.80400000000373
141,1.0,208.30999999999767
144,1.0,152.03800000000047
144,0.0,177.4210000000021
147,1.0,227.52900000000227
147,0.0,229.2719999999972
150,0.0,137.4429999999993
150,1.0,139.73399999999674
153,1.0,343.34100000000035
153,0.0,296.99199999999837
156,0.0,209.6030000000028
156,1.0,288.3359999999957
159,0.0,175.8990000000049
159,1.0,262.68900000001304
162,1.0,323.6649999999936
162,0.0,214.30299999999988
165,1.0,309.35899999999674
165,0.0,198.9539999999979
168,1.0,312.02900000000955
168,0.0,205.51900000000023
171,1.0,258.554999999993
171,0.0,176.70999999999185
174,1.0,243.01900000000023
174,0.0,191.29300000000512
177,1.0,152.16700000000128
177,0.0,180.42299999999523
180,1.0,225.2939999999944
180,0.0,236.34000000001106
183,1.0,134.20500000000175
183,0.0,95.98399999999674
186,0.0,235.69599999999627
186,1.0,373.3530000000028
189,0.0,183.52999999999884
189,1.0,292.8999999999942
192,0.0,199.33400000000256
192,1.0,303.7380000000121
195,0.0,201.73399999999674
195,1.0,313.84999999999127
198,1.0,322.9320000000007
198,0.0,216.84100000000035
201,0.0,220.1490000000049
201,1.0,314.1110000000044
204,0.0,211.91999999999825
204,1.0,308.11500000000524
207,0.0,208.19800000000396
207,1.0,292.61999999999534
210,0.0,178.84599999999045
210,1.0,211.47000000000116
213,0.0,233.3810000000085
213,1.0,201.00999999999476
216,1.0,98.11200000000827
216,0.0,122.68799999999464
219,1.0,268.0149999999994
219,0.0,197.80100000000675
222,0.0,220.39899999999034
222,1.0,318.4439999999886
225,1.0,315.8850000000093
225,0.0,194.27599999999802
228,1.0,328.05799999999
228,0.0,199.74000000000524
231,1.0,319.20100000000093
231,0.0,201.19800000000396
234,0.0,242.34900000000198
234,1.0,347.1790000000037
237,1.0,333.53800000000047
237,0.0,239.6939999999886
240,0.0,226.76400000001013
240,1.0,319.21800000000803
243,1.0,286.8929999999964
243,0.0,181.2039999999979
246,1.0,274.20299999999406
246,0.0,196.38399999999092
249,0.0,182.74400000000605
249,1.0,158.60000000000582
252,1.0,221.8399999999965
252,0.0,228.10599999999977
255,0.0,82.84300000000803
255,1.0,76.8640000000014
258,0.0,185.333999999988
258,1.0,191.94899999999325
261,0.0,158.89300000001094
261,1.0,168.6600000000035
264,1.0,167.1030000000028
264,0.0,160.79499999999825
267,1.0,169.07300000000396
267,0.0,172.50999999999476
270,1.0,179.93399999999383
270,0.0,179.78399999999965
273,1.0,203.37900000000081
273,0.0,233.52999999999884
276,1.0,91.625
276,0.0,115.25800000000163
279,0.0,169.8139999999985
279,1.0,176.53200000000652
282,1.0,215.72099999999045
282,0.0,192.9560000000056
285,1.0,208.68400000000838
285,0.0,172.6319999999978
288,0.0,187.06299999999464
288,1.0,195.53499999998894
291,0.0,183.77200000001176
291,1.0,192.27600000001257
294,1.0,201.08699999999953
294,0.0,192.3289999999979
297,1.0,167.71199999999953
297,0.0,190.15999999998894
300,1.0,211.59899999998743
300,0.0,235.96800000000803
303,0.0,104.80899999999383
303,1.0,118.23000000001048
306,0.0,218.66700000000128
306,1.0,258.95999999999185
309,0.0,193.1860000000015
309,1.0,240.8350000000064
312,1.0,236.43399999999383
