time,cpu,freq_hz,package
0,0,2760753.0,0
0,1,2049529.0,0
0,2,2794058.0,0
0,3,1962783.0,0
0,4,2641017.0,0
0,5,2775290.0,0
0,6,2764993.0,0
0,7,2633439.0,0
0,8,2768893.0,0
0,9,2785670.0,0
0,10,1032442.0,0
0,11,1937501.0,0
0,12,1020448.0,0
0,13,1023037.0,0
0,14,2836688.0,0
0,15,2091181.0,0
0,16,2125978.0,1
0,17,1000013.0,1
0,18,1532591.0,1
0,19,1781881.0,1
0,20,1045840.0,1
0,21,1019517.0,1
0,22,2759373.0,1
0,23,2719371.0,1
0,24,2671293.0,1
0,25,1009958.0,1
0,26,2668867.0,1
0,27,2281106.0,1
0,28,1645711.0,1
0,29,2462270.0,1
0,30,2483153.0,1
0,31,2240562.0,1
0,32,1033349.0,0
0,33,2553911.0,0
0,34,2701256.0,0
0,35,2717687.0,0
0,36,2587424.0,0
0,37,1012584.0,0
0,38,2898730.0,0
0,39,2318522.0,0
0,40,2783669.0,0
0,41,3055426.0,0
0,42,1986697.0,0
0,43,2662590.0,0
0,44,1801296.0,0
0,45,1048088.0,0
0,46,2749646.0,0
0,47,2428774.0,0
0,48,1013961.0,1
0,49,1528425.0,1
0,50,1385193.0,1
0,51,2156427.0,1
0,52,2427060.0,1
0,53,2222688.0,1
0,54,2225460.0,1
0,55,2747358.0,1
0,56,1977593.0,1
0,57,1604456.0,1
0,58,1624060.0,1
0,59,2530505.0,1
0,60,2052691.0,1
0,61,2775008.0,1
0,62,2564252.0,1
0,63,1067136.0,1
3,0,2198531.0,0
3,1,1520506.0,0
3,2,2435820.0,0
3,3,1411284.0,0
3,4,2376861.0,0
3,5,2363117.0,0
3,6,2982062.0,0
3,7,2894349.0,0
3,8,3411667.0,0
3,9,2991971.0,0
3,10,1763156.0,0
3,11,1842613.0,0
3,12,2700287.0,0
3,13,2459695.0,0
3,14,3465914.0,0
3,15,3335590.0,0
3,16,2620377.0,1
3,17,2241066.0,1
3,18,2507876.0,1
3,19,1022646.0,1
3,20,1207122.0,1
3,21,2895951.0,1
3,22,2704836.0,1
3,23,2911762.0,1
3,24,2611657.0,1
3,25,2987021.0,1
3,26,1022385.0,1
3,27,3200941.0,1
3,28,3353960.0,1
3,29,1154594.0,1
3,30,2345412.0,1
3,31,1907561.0,1
3,32,2351624.0,0
3,33,2637097.0,0
3,34,2329432.0,0
3,35,1359420.0,0
3,36,2872735.0,0
3,37,2814194.0,0
3,38,2791399.0,0
3,39,2385436.0,0
3,40,3132895.0,0
3,41,1097255.0,0
3,42,1738290.0,0
3,43,2277992.0,0
3,44,2366277.0,0
3,45,1363205.0,0
3,46,1389433.0,0
3,47,2507672.0,0
3,48,2377695.0,1
3,49,3007077.0,1
3,50,2721654.0,1
3,51,2784991.0,1
3,52,1021240.0,1
3,53,2907466.0,1
3,54,2847609.0,1
3,55,2861072.0,1
3,56,2894154.0,1
3,57,2964120.0,1
3,58,2833639.0,1
3,59,1699700.0,1
3,60,1164432.0,1
3,61,1008240.0,1
3,62,2396968.0,1
3,63,1715276.0,1
6,0,2850334.0,0
6,1,2919253.0,0
6,2,2434927.0,0
6,3,1868985.0,0
6,4,2249316.0,0
6,5,2286876.0,0
6,6,1991667.0,0
6,7,2639201.0,0
6,8,2727373.0,0
6,9,1001091.0,0
6,10,2252145.0,0
6,11,2786847.0,0
6,12,2771016.0,0
6,13,2729954.0,0
6,14,1123658.0,0
6,15,2374960.0,0
6,16,2800176.0,1
6,17,2924788.0,1
6,18,2799928.0,1
6,19,2959849.0,1
6,20,2799992.0,1
6,21,3520000.0,1
6,22,2799990.0,1
6,23,2799918.0,1
6,24,2799996.0,1
6,25,2799978.0,1
6,26,2799972.0,1
6,27,2799997.0,1
6,28,2799933.0,1
6,29,2799976.0,1
6,30,2800013.0,1
6,31,2799932.0,1
6,32,2494074.0,0
6,33,1099555.0,0
6,34,1229872.0,0
6,35,1274570.0,0
6,36,1040030.0,0
6,37,1158106.0,0
6,38,1804654.0,0
6,39,2753639.0,0
6,40,2300543.0,0
6,41,1835481.0,0
6,42,2753669.0,0
6,43,1603768.0,0
6,44,1227387.0,0
6,45,2404690.0,0
6,46,2526923.0,0
6,47,2527938.0,0
6,48,3060178.0,1
6,49,2800102.0,1
6,50,2799740.0,1
6,51,2782227.0,1
6,52,2800001.0,1
6,53,2800005.0,1
6,54,2799741.0,1
6,55,2795382.0,1
6,56,2800028.0,1
6,57,2879342.0,1
6,58,2800019.0,1
6,59,2799796.0,1
6,60,2799995.0,1
6,61,2799941.0,1
6,62,2911083.0,1
6,63,2799978.0,1
9,0,2980603.0,0
9,1,2923278.0,0
9,2,2906879.0,0
9,3,2926765.0,0
9,4,2901821.0,0
9,5,2913633.0,0
9,6,2743696.0,0
9,7,2968044.0,0
9,8,2789398.0,0
9,9,2828953.0,0
9,10,3073309.0,0
9,11,2773088.0,0
9,12,2833999.0,0
9,13,2563376.0,0
9,14,2936454.0,0
9,15,2916939.0,0
9,16,3022109.0,1
9,17,2774692.0,1
9,18,2798910.0,1
9,19,2618708.0,1
9,20,2614594.0,1
9,21,3602711.0,1
9,22,2717469.0,1
9,23,2513720.0,1
9,24,2694120.0,1
9,25,2730629.0,1
9,26,3088077.0,1
9,27,2722372.0,1
9,28,2662540.0,1
9,29,2563363.0,1
9,30,3446453.0,1
9,31,2710359.0,1
9,32,2858241.0,0
9,33,2837023.0,0
9,34,2961165.0,0
9,35,3021558.0,0
9,36,2986987.0,0
9,37,2872302.0,0
9,38,2917616.0,0
9,39,3042258.0,0
9,40,2866367.0,0
9,41,3070320.0,0
9,42,2951349.0,0
9,43,2967128.0,0
9,44,2714417.0,0
9,45,2685551.0,0
9,46,3075148.0,0
9,47,2581188.0,0
9,48,3380448.0,1
9,49,2530790.0,1
9,50,2797853.0,1
9,51,3297059.0,1
9,52,2455509.0,1
9,53,2928973.0,1
9,54,2734495.0,1
9,55,2605520.0,1
9,56,2510819.0,1
9,57,2725473.0,1
9,58,3018982.0,1
9,59,2637411.0,1
9,60,2656004.0,1
9,61,2632393.0,1
9,62,2932045.0,1
9,63,2588131.0,1
12,0,3323420.0,0
12,1,3311123.0,0
12,2,3053846.0,0
12,3,3282431.0,0
12,4,2855465.0,0
12,5,2724637.0,0
12,6,2787258.0,0
12,7,2428359.0,0
12,8,2823320.0,0
12,9,2857393.0,0
12,10,2839721.0,0
12,11,2725473.0,0
12,12,2724676.0,0
12,13,2472603.0,0
12,14,3036142.0,0
12,15,3018969.0,0
12,16,3061206.0,1
12,17,2745861.0,1
12,18,2774127.0,1
12,19,3446867.0,1
12,20,2853459.0,1
12,21,3137494.0,1
12,22,2958509.0,1
12,23,3012769.0,1
12,24,2845180.0,1
12,25,2620698.0,1
12,26,2873280.0,1
12,27,2718539.0,1
12,28,2837891.0,1
12,29,2878266.0,1
12,30,3162167.0,1
12,31,2897077.0,1
12,32,3425794.0,0
12,33,3480095.0,0
12,34,3133871.0,0
12,35,3227180.0,0
12,36,2431464.0,0
12,37,2616398.0,0
12,38,3076908.0,0
12,39,2694617.0,0
12,40,2882107.0,0
12,41,2389484.0,0
12,42,2715271.0,0
12,43,3164948.0,0
12,44,2600886.0,0
12,45,2611034.0,0
12,46,3350095.0,0
12,47,2879230.0,0
12,48,2867323.0,1
12,49,2706778.0,1
12,50,2816199.0,1
12,51,2928985.0,1
12,52,2987850.0,1
12,53,2732719.0,1
12,54,2913088.0,1
12,55,2795447.0,1
12,56,3482293.0,1
12,57,2843144.0,1
12,58,2896490.0,1
12,59,2573151.0,1
12,60,2762588.0,1
12,61,3047364.0,1
12,62,3483375.0,1
12,63,2795411.0,1
15,0,3243518.0,0
15,1,2742206.0,0
15,2,3133961.0,0
15,3,3022672.0,0
15,4,2990020.0,0
15,5,2771440.0,0
