time,package,value
3,0.0,3.3689999999987776
3,1.0,2.6300000000046566
6,0.0,5.828000000001339
6,1.0,5.555000000000291
9,0.0,1.9049999999988358
9,1.0,1.7860000000000582
12,0.0,4.223000000001775
12,1.0,4.243999999998778
15,0.0,3.1349999999983993
15,1.0,3.3329999999987194
18,0.0,4.074000000000524
18,1.0,4.42500000000291
21,0.0,3.833999999998923
21,1.0,4.277999999998428
24,1.0,3.896999999997206
24,0.0,3.7230000000017753
27,1.0,3.6520000000018626
27,0.0,3.7109999999993306
30,1.0,3.65400000000227
30,0.0,4.114999999997963
33,1.0,3.3249999999970896
33,0.0,3.5120000000024447
36,0.0,3.8109999999978754
36,1.0,3.63300000000163
39,0.0,3.3040000000000873
39,1.0,3.7229999999981374
42,0.0,4.3729999999995925
42,1.0,4.717000000004191
45,0.0,3.853000000002794
45,1.0,4.465999999993073
48,1.0,4.605999999999767
48,0.0,3.731999999999971
51,0.0,3.473999999998341
51,1.0,4.179000000003725
54,1.0,4.286999999996624
54,0.0,4.620999999999185
57,0.0,4.97700000000259
57,1.0,4.855000000003201
60,1.0,1.8280000000013388
60,0.0,2.0709999999999127
63,0.0,4.076999999997497
63,1.0,4.938999999998487
66,0.0,4.452000000001135
66,1.0,6.105999999999767
69,0.0,3.1090000000003783
69,1.0,4.510000000002037
72,1.0,4.8439999999973224
72,0.0,3.8770000000004075
75,1.0,4.2260000000023865
75,0.0,3.3329999999987194
78,1.0,4.834999999999127
78,0.0,4.033999999999651
81,0.0,3.8690000000024156
81,1.0,3.849000000001979
84,1.0,5.076000000000931
84,0.0,5.34599999999773
87,0.0,1.6350000000020373
87,1.0,1.532999999995809
90,1.0,5.111000000004424
90,0.0,4.40599999999904
93,1.0,4.459999999999127
93,0.0,3.6699999999982538
96,0.0,3.775000000001455
96,1.0,4.680999999996857
99,0.0,3.3849999999983993
99,1.0,4.275999999998021
102,0.0,3.971000000001368
102,1.0,5.071000000003551
105,1.0,4.885000000002037
105,0.0,3.949000000000524
108,0.0,3.562999999998283
108,1.0,4.029999999998836
111,1.0,2.8589999999967404
111,0.0,3.4910000000018044
114,0.0,5.672999999998865
114,1.0,5.2810000000026776
117,0.0,1.981999999999971
117,1.0,1.9470000000001164
120,0.0,4.283999999999651
120,1.0,5.495999999999185
123,0.0,3.503000000000611
123,1.0,4.671999999998661
126,1.0,5.190999999998894
126,0.0,3.9720000000015716
129,1.0,4.703000000001339
129,0.0,3.6859999999978754
132,0.0,3.6810000000004948
132,1.0,4.976999999998952
135,1.0,5.485000000000582
135,0.0,3.611000000000786
138,1.0,4.385999999998603
138,0.0,3.7740000000012515
141,0.0,3.9939999999987776
141,1.0,3.7510000000038417
144,1.0,3.4209999999948195
144,0.0,4.016999999999825
147,1.0,5.0310000000026776
147,0.0,5.008999999998196
150,0.0,2.1860000000015134
150,1.0,2.5010000000038417
153,1.0,6.665999999997439
153,0.0,4.4320000000006985
156,0.0,3.580999999998312
156,1.0,5.478000000002794
159,0.0,3.2740000000012515
159,1.0,4.70499999999447
162,1.0,5.792000000001281
162,0.0,3.894000000000233
165,1.0,5.290999999997439
165,0.0,3.6739999999990687
168,1.0,5.570000000006985
168,0.0,3.7520000000004075
