time,cpu,freq_hz,package
0,0,1890698.0,0
0,1,2009243.0,0
0,2,2246466.0,0
0,3,1205165.0,0
0,4,2325942.0,0
0,5,1683028.0,0
0,6,2726824.0,0
0,7,1911584.0,0
0,8,2308743.0,0
0,9,2483584.0,0
0,10,2395228.0,0
0,11,1582449.0,0
0,12,2126894.0,0
0,13,2255734.0,0
0,14,2715167.0,0
0,15,2321456.0,0
0,16,2963185.0,1
0,17,2171464.0,1
0,18,3013119.0,1
0,19,2799952.0,1
0,20,2173902.0,1
0,21,2261497.0,1
0,22,2658878.0,1
0,23,2345802.0,1
0,24,1674738.0,1
0,25,1111322.0,1
0,26,1169913.0,1
0,27,2053133.0,1
0,28,1041785.0,1
0,29,2451399.0,1
0,30,3270168.0,1
0,31,2588784.0,1
0,32,2089871.0,0
0,33,2712713.0,0
0,34,2204865.0,0
0,35,2575038.0,0
0,36,2051019.0,0
0,37,3110444.0,0
0,38,2307432.0,0
0,39,1069737.0,0
0,40,2226215.0,0
0,41,1168925.0,0
0,42,2313993.0,0
0,43,1432916.0,0
0,44,1055025.0,0
0,45,1569167.0,0
0,46,1831326.0,0
0,47,2204269.0,0
0,48,1862767.0,1
0,49,1382912.0,1
0,50,1095662.0,1
0,51,1338013.0,1
0,52,1144380.0,1
0,53,1623370.0,1
0,54,2184736.0,1
0,55,2030798.0,1
0,56,3107369.0,1
0,57,1633341.0,1
0,58,2311343.0,1
0,59,1549929.0,1
0,60,2093664.0,1
0,61,2220062.0,1
0,62,2145533.0,1
0,63,2201782.0,1
3,0,3098989.0,0
3,1,3014563.0,0
3,2,2790307.0,0
3,3,2801789.0,0
3,4,2799878.0,0
3,5,2948871.0,0
3,6,2797105.0,0
3,7,3000901.0,0
3,8,2906878.0,0
3,9,3296017.0,0
3,10,2798104.0,0
3,11,2798912.0,0
3,12,2842097.0,0
3,13,3192072.0,0
3,14,2799774.0,0
3,15,2798265.0,0
3,16,2751385.0,1
3,17,2625926.0,1
3,18,2485890.0,1
3,19,2777763.0,1
3,20,2199638.0,1
3,21,2743189.0,1
3,22,2508109.0,1
3,23,2735927.0,1
3,24,2749302.0,1
3,25,2938469.0,1
3,26,1310370.0,1
3,27,2485610.0,1
3,28,1771328.0,1
3,29,1946214.0,1
3,30,1244784.0,1
3,31,1829560.0,1
3,32,2860827.0,0
3,33,2801498.0,0
3,34,2937235.0,0
3,35,2782177.0,0
3,36,3133140.0,0
3,37,3184543.0,0
3,38,2757177.0,0
3,39,2802941.0,0
3,40,2782449.0,0
3,41,2849357.0,0
3,42,2799932.0,0
3,43,2579276.0,0
3,44,2792771.0,0
3,45,2799762.0,0
3,46,3132288.0,0
3,47,2818280.0,0
3,48,1042075.0,1
3,49,2247271.0,1
3,50,2920324.0,1
3,51,2181744.0,1
3,52,1050642.0,1
3,53,2698054.0,1
3,54,1509194.0,1
3,55,2917132.0,1
3,56,2936839.0,1
3,57,1330543.0,1
3,58,2014720.0,1
3,59,1099068.0,1
3,60,2781189.0,1
3,61,2792648.0,1
3,62,1553884.0,1
3,63,2724351.0,1
6,0,2800005.0,0
6,1,2799994.0,0
6,2,2800001.0,0
6,3,2799998.0,0
6,4,2799998.0,0
6,5,2782575.0,0
6,6,2799992.0,0
6,7,2799919.0,0
6,8,2799988.0,0
6,9,2799991.0,0
6,10,2800006.0,0
6,11,2799988.0,0
6,12,2796229.0,0
6,13,2800006.0,0
6,14,2799996.0,0
6,15,2797125.0,0
6,16,2815946.0,1
6,17,1994502.0,1
6,18,1547514.0,1
6,19,1720220.0,1
6,20,1767296.0,1
6,21,2630120.0,1
6,22,1015709.0,1
6,23,1025536.0,1
6,24,1727426.0,1
6,25,1367549.0,1
6,26,1519433.0,1
6,27,2609417.0,1
6,28,1073977.0,1
6,29,1985021.0,1
6,30,1587950.0,1
6,31,1047982.0,1
6,32,2800006.0,0
6,33,2799995.0,0
6,34,2799985.0,0
6,35,2800004.0,0
6,36,2800011.0,0
6,37,2796617.0,0
6,38,2799996.0,0
6,39,2798935.0,0
6,40,2800009.0,0
6,41,2799992.0,0
6,42,2799961.0,0
6,43,2800014.0,0
6,44,2792249.0,0
6,45,2800008.0,0
6,46,2799997.0,0
6,47,2799959.0,0
6,48,1531930.0,1
6,49,2318558.0,1
6,50,2448519.0,1
6,51,2753997.0,1
6,52,1848615.0,1
6,53,1740501.0,1
6,54,2034909.0,1
6,55,2464976.0,1
6,56,2277139.0,1
6,57,2358594.0,1
6,58,1322962.0,1
6,59,2775346.0,1
6,60,1037694.0,1
6,61,1948319.0,1
6,62,1897643.0,1
6,63,2914166.0,1
9,0,2992755.0,0
9,1,2895685.0,0
9,2,2822999.0,0
9,3,2793123.0,0
9,4,3328369.0,0
9,5,2931030.0,0
9,6,2897722.0,0
9,7,2728304.0,0
9,8,2835804.0,0
9,9,2539342.0,0
9,10,2672092.0,0
9,11,2804053.0,0
9,12,2812049.0,0
9,13,2788386.0,0
9,14,2869330.0,0
9,15,2868316.0,0
9,16,2587306.0,1
9,17,2638464.0,1
9,18,2846340.0,1
9,19,2269188.0,1
9,20,2840277.0,1
9,21,1629829.0,1
9,22,1804086.0,1
9,23,1673488.0,1
9,24,2701622.0,1
9,25,1179403.0,1
9,26,2834608.0,1
9,27,2710699.0,1
9,28,2063763.0,1
9,29,2512036.0,1
9,30,1934473.0,1
9,31,1090506.0,1
9,32,2920990.0,0
9,33,3272460.0,0
9,34,2748946.0,0
9,35,2644972.0,0
9,36,2811918.0,0
9,37,2831995.0,0
9,38,2893532.0,0
9,39,2820992.0,0
9,40,2823202.0,0
9,41,2796428.0,0
9,42,2785793.0,0
9,43,2883690.0,0
9,44,2694252.0,0
9,45,2676322.0,0
9,46,2930082.0,0
9,47,2823055.0,0
9,48,2798642.0,1
9,49,2776321.0,1
9,50,2789718.0,1
9,51,1590197.0,1
9,52,2014814.0,1
9,53,1537599.0,1
9,54,2421386.0,1
9,55,2706662.0,1
9,56,1509991.0,1
9,57,1248350.0,1
9,58,1680335.0,1
9,59,2616869.0,1
9,60,2486646.0,1
9,61,2784790.0,1
9,62,2125415.0,1
9,63,2534469.0,1
12,0,3229520.0,0
12,1,3232876.0,0
12,2,2892168.0,0
12,3,2661474.0,0
12,4,2875838.0,0
12,5,2827145.0,0
12,6,2815798.0,0
12,7,3055877.0,0
12,8,2535135.0,0
12,9,3224898.0,0
12,10,2828108.0,0
12,11,3215588.0,0
12,12,2967285.0,0
12,13,2719111.0,0
12,14,2999624.0,0
12,15,2715460.0,0
12,16,1015116.0,1
12,17,1501504.0,1
12,18,1383310.0,1
12,19,1017310.0,1
12,20,1040509.0,1
12,21,2221816.0,1
12,22,1321169.0,1
12,23,2551631.0,1
12,24,1071485.0,1
12,25,2576981.0,1
12,26,1000070.0,1
12,27,1578258.0,1
12,28,1016473.0,1
12,29,2635744.0,1
12,30,1029118.0,1
12,31,1012526.0,1
12,32,2807221.0,0
12,33,2881723.0,0
12,34,2796838.0,0
12,35,2909476.0,0
12,36,2782237.0,0
12,37,2974483.0,0
12,38,2742596.0,0
12,39,2999073.0,0
12,40,2746656.0,0
12,41,3298191.0,0
12,42,2943022.0,0
12,43,2800168.0,0
12,44,3211205.0,0
12,45,3029198.0,0
12,46,2891902.0,0
12,47,2807123.0,0
12,48,1019374.0,1
12,49,1538649.0,1
12,50,1629447.0,1
12,51,2329252.0,1
12,52,1094089.0,1
12,53,2367228.0,1
12,54,1440168.0,1
12,55,2617247.0,1
12,56,2460613.0,1
12,57,1559972.0,1
12,58,2532789.0,1
12,59,2077631.0,1
12,60,1018913.0,1
12,61,1478455.0,1
12,62,1590426.0,1
12,63,2789000.0,1
15,0,2800035.0,0
15,1,2799986.0,0
15,2,3104833.0,0
15,3,2986021.0,0
15,4,3171794.0,0
15,5,2950970.0,0
15,6,2929373.0,0
15,7,2800149.0,0
15,8,2847900.0,0
15,9,3171334.0,0
15,10,2799965.0,0
15,11,2800000.0,0
15,12,2803642.0,0
15,13,2975809.0,0
15,14,2800013.0,0
15,15,2799995.0,0
15,16,2583068.0,1
15,17,1982448.0,1
15,18,2318986.0,1
15,19,2312195.0,1
15,20,2470997.0,1
15,21,1085892.0,1
15,22,2048064.0,1
15,23,2853485.0,1
15,24,1487732.0,1
15,25,1323964.0,1
15,26,2023738.0,1
15,27,2691924.0,1
15,28,2786174.0,1
15,29,2665529.0,1
15,30,2282131.0,1
15,31,2416176.0,1
15,32,2800019.0,0
15,33,2987974.0,0
15,34,2932853.0,0
15,35,2950180.0,0
15,36,3088650.0,0
15,37,2799996.0,0
15,38,2800094.0,0
15,39,2980119.0,0
15,40,2821209.0,0
15,41,2800000.0,0
15,42,2896609.0,0
15,43,2799909.0,0
15,44,2864924.0,0
15,45,2778371.0,0
15,46,2799990.0,0
15,47,2884454.0,0
15,48,2168140.0,1
15,49,2508547.0,1
15,50,2567149.0,1
15,51,1155326.0,1
15,52,2312770.0,1
15,53,1146859.0,1
15,54,2586116.0,1
15,55,2642699.0,1
15,56,2781766.0,1
15,57,2712085.0,1
15,58,2071528.0,1
15,59,1895878.0,1
15,60,2175583.0,1
